Question;Completely agree;Somewhat agree;Unsure;Somewhat disagree;Completely disagree
Finland should help people who flee wars and suffering.;38;41;10;7;4
Racism is a serious problem among young people and we don't do enough to fight it.;21;38;15;20;7
I have friends who are immigrants.;38;19;6;10;29
More foreigners should live in Finland.;12;29;26;21;12
Finland should take more refugees.;7;21;26;25;21
I could have an immigrant as a spouse.;52;22;10;8;8
It's not important for me whether my friends are born in Finland.;64;18;9;6;4
