cartodb_id,country,cri_rank,cri_score,fatalities_per_100k_rank,fatalities_per_100k_total,fatalities_rank,fatalities_total,losses_per_gdp__rank,losses_per_gdp__total,losses_usdm_ppp_rank,losses_usdm_ppp_total,rw_country_code,rw_country_name
118,Pakistan,11,28.17,11,0.88,3,1663,60,0.0974,24,907.122,PAK,Pakistan
119,Panama,122,104.83,91,0.02,102,1,116,0.0039,113,3.436,PAN,Panama
120,Paraguay,38,47.5,59,0.09,76,6,25,0.4655,41,284.588,PRY,Paraguay
121,Republic of Congo,119,104,77,0.05,90,2,126,0.0006,128,0.166,COG,Republic of Congo
122,Republic of Yemen,26,41.83,48,0.11,41,32,31,0.3048,52,230.67,YEM,Yemen
123,Senegal,124,105.83,114,0,114,0,94,0.022,105,8.071,SEN,Senegal
124,Russia,57,59.5,65,0.08,21,110,92,0.0252,22,937.386,RUS,Russia
125,Bhutan,87,76.17,13,0.64,78,5,114,0.005,125,0.297,BTN,Bhutan
126,Uzbekistan,135,124.5,114,0,114,0,135,,135,0,UZB,Uzbekistan
127,Zambia,113,98.33,114,0,114,0,78,0.0456,92,28.5,ZMB,Zambia
128,Zimbabwe,14,29.5,33,0.21,43,29,10,0.9044,48,253.578,ZWE,Zimbabwe
129,Armenia,113,98.33,114,0,114,0,74,0.0522,100,13.266,ARM,Armenia
130,Botswana,75,70.17,114,0,114,0,15,0.6938,49,242.431,BWA,Botswana
131,Bangladesh,35,46.17,53,0.11,16,168,61,0.0959,33,556.442,BGD,Bangladesh
132,Belize,135,124.5,114,0,114,0,135,,135,0,BLZ,Belize
133,Cape Verde,43,52,22,0.38,90,2,37,0.2494,104,8.511,CPV,Cape Verde
134,Brunei Darussalam,135,124.5,114,0,114,0,135,,135,0,BRN,Brunei
135,Burundi,15,33,16,0.51,33,48,23,0.4726,87,37.006,BDI,Burundi
136,Comoros,135,124.5,114,0,114,0,135,,135,0,COM,Comoros
137,Cyprus,135,124.5,114,0,114,0,135,,135,0,CYP,Cyprus
138,Dominica,2,13,1,43.66,42,31,1,77.3694,32,611.219,DMA,Dominica
139,Saint Vincent and the Grenadines,135,124.5,114,0,114,0,135,,135,0,VCT,Saint Vincent and the Grenadines
140,Taiwan,51,56.17,75,0.05,65,11,53,0.1338,16,1472.523,,
141,Costa Rica,91,77.5,81,0.04,90,2,67,0.0758,79,56.885,CRI,Costa Rica
142,St. Lucia,135,124.5,114,0,114,0,135,,135,0,LCA,Saint Lucia
143,Switzerland,96,85.33,83,0.04,85,3,97,0.0196,67,94.589,CHE,Switzerland
144,Sudan,82,75.33,50,0.11,35,43,109,0.008,99,13.519,SDN,Sudan
145,Djibouti,135,124.5,114,0,114,0,135,,135,0,DJI,Djibouti
146,Jamaica,135,124.5,114,0,114,0,135,,135,0,JAM,Jamaica
147,Democratic Republic of Timor-Leste,135,124.5,114,0,114,0,135,,135,0,TLS,Timor-Leste
148,Luxembourg,135,124.5,114,0,114,0,135,,135,0,LUX,Luxembourg
149,El Salvador,47,53,63,0.08,78,5,29,0.349,56,184.311,SLV,El Salvador
150,St. Kitts and Nevis,135,124.5,114,0,114,0,135,,135,0,KNA,Saint Kitts and Nevis
151,Tajikistan,22,37.67,47,0.12,68,10,9,1.0945,46,263.053,TJK,Tajikistan
152,Former Yugoslav Republic of Macedonia,18,33.83,28,0.29,76,6,12,0.8921,47,259.554,MKD,Macedonia
153,Grenada,135,124.5,114,0,114,0,135,,135,0,GRD,Grenada
154,Haiti,40,50.33,49,0.11,60,12,32,0.299,80,56.28,HTI,Haiti
155,Guatemala,31,45,7,1.77,9,288,83,0.0419,81,52.921,GTM,Guatemala
156,Israel,105,93.17,105,0.01,102,1,89,0.0317,69,90.509,ISR,Israel
157,Jordan,118,103.5,89,0.03,90,2,118,0.0028,117,2.314,JOR,Jordan
158,Tuvalu,81,75.17,114,0,114,0,3,33.3333,103,12.333,TUV,Tuvalu
159,Kuwait,135,124.5,114,0,114,0,135,,135,0,KWT,Kuwait
160,Micronesia,12,28.5,3,8.74,71,9,4,12.5786,86,38.491,FSM,Federated States of Micronesia
161,Kosovo,135,124.5,114,0,114,0,135,,135,0,,
162,Mauritius,135,124.5,114,0,114,0,135,,135,0,MUS,Mauritius
163,Mongolia,59,59.83,85,0.03,102,1,18,0.6409,51,231.767,MNG,Mongolia
164,Nepal,42,51.33,12,0.69,11,198,90,0.0299,93,20.981,NPL,Nepal
165,Namibia,97,85.83,114,0,114,0,45,0.174,83,44.533,NAM,Namibia
166,Mozambique,1,12.17,8,1.25,7,351,8,1.4993,34,500.073,MOZ,Mozambique
167,Myanmar,6,20.83,25,0.33,14,173,22,0.4786,17,1359.654,MMR,Myanmar
168,Philippines,13,28.83,35,0.19,12,196,38,0.2417,15,1797.737,PHL,Philippines
169,Oman,16,33.33,27,0.31,60,12,28,0.3901,30,654.718,OMN,Oman
170,Lesotho,135,124.5,114,0,114,0,135,,135,0,LSO,Lesotho
171,Lebanon,78,72.33,26,0.33,54,15,110,0.008,108,6.651,LBN,Lebanon
172,Marshall Islands,135,124.5,114,0,114,0,135,,135,0,MHL,Marshall Islands
173,Montenegro,135,124.5,114,0,114,0,135,,135,0,MNE,Montenegro
174,Rwanda,110,97,60,0.09,68,10,130,0.0001,134,0.025,RWA,Rwanda
175,Qatar,129,110.33,114,0,114,0,113,0.006,94,19.273,QAT,Qatar
176,Puerto Rico,110,97,114,0,114,0,81,0.0437,78,57.565,,
177,Samoa,135,124.5,114,0,114,0,135,,135,0,WSM,Samoa
178,Seychelles,135,124.5,114,0,114,0,135,,135,0,SYC,Seychelles
179,Gambia,135,124.5,114,0,114,0,135,,135,0,GMB,Gambia
180,Togo,131,114.33,104,0.01,102,1,123,0.0012,130,0.13,TGO,Togo
181,Trinidad and Tobago,135,124.5,114,0,114,0,135,,135,0,TTO,Trinidad and Tobago
182,Tonga,135,124.5,114,0,114,0,135,,135,0,TON,Tonga
