Column1;Number;Name;Basin;Birth YMDHM (UTC);Death YMDHM (UTC);Length;Min Pressure (hPa);Dead or Missing;Injured;Destroyed Houses;Inundated Houses;Damage (bil. JPY)
1;195106;KATE;W. N. Pacific;1951;02.07.1951 12:00;78;975;#N/A;#N/A;#N/A;#N/A;#N/A
4;195204;FREDA;W. N. Pacific;1952;15.07.1952 12:00;36;995;#N/A;#N/A;#N/A;#N/A;#N/A
5;195209;KAREN;W. N. Pacific;1952;20.08.1952 00:00;168;955;#N/A;#N/A;#N/A;#N/A;#N/A
10;195413;KATHY;W. N. Pacific;1954;08.09.1954 18:00;108;940;#N/A;#N/A;#N/A;#N/A;#N/A
13;195508;DOT;W. N. Pacific;1955;16.07.1955 18:00;60;995;#N/A;#N/A;#N/A;#N/A;#N/A
15;195523;MARGE;W. N. Pacific;1955;04.10.1955 06:00;156;965;#N/A;#N/A;#N/A;#N/A;#N/A
16;195526;OPAL;W. N. Pacific;1955;21.10.1955 00:00;90;982;#N/A;#N/A;#N/A;#N/A;#N/A
17;195603;THELMA;W. N. Pacific;1956;25.04.1956 00:00;210;935;#N/A;#N/A;#N/A;#N/A;#N/A
20;195710;BESS;W. N. Pacific;1957;07.09.1957 18:00;258;950;#N/A;#N/A;#N/A;#N/A;#N/A
25;195906;ELLEN;W. N. Pacific;1959;10.08.1959 00:00;174;965;#N/A;#N/A;#N/A;#N/A;#N/A
28;195916;AMY;W. N. Pacific;1959;07.10.1959 12:00;96;985;#N/A;#N/A;#N/A;#N/A;#N/A
29;196011;VIRGINIA;W. N. Pacific;1960;12.08.1960 06:00;78;980;#N/A;#N/A;#N/A;#N/A;#N/A
32;196019;NO-NAME;W. N. Pacific;1960;02.09.1960 00:00;12;1008;#N/A;#N/A;#N/A;#N/A;#N/A
33;196111;IDA;W. N. Pacific;1961;31.07.1961 06:00;72;980;#N/A;#N/A;#N/A;#N/A;#N/A
35;196124;VIOLET;W. N. Pacific;1961;10.10.1961 12:00;138;895;#N/A;#N/A;#N/A;#N/A;#N/A
36;196207;LOUISE;W. N. Pacific;1962;28.07.1962 00:00;168;960;#N/A;#N/A;#N/A;#N/A;#N/A
37;196209;NORA;W. N. Pacific;1962;03.08.1962 18:00;132;968;#N/A;#N/A;#N/A;#N/A;#N/A
38;196213;SARAH;W. N. Pacific;1962;22.08.1962 12:00;174;975;#N/A;#N/A;#N/A;#N/A;#N/A
39;196214;THELMA;W. N. Pacific;1962;26.08.1962 12:00;150;950;#N/A;#N/A;#N/A;#N/A;#N/A
40;196215;VERA;W. N. Pacific;1962;28.08.1962 00:00;60;990;#N/A;#N/A;#N/A;#N/A;#N/A
41;196303;ROSE;W. N. Pacific;1963;14.06.1963 06:00;138;992;#N/A;#N/A;#N/A;#N/A;#N/A
43;196414;KATHY;W. N. Pacific;1964;25.08.1964 00:00;306;948;#N/A;#N/A;#N/A;#N/A;#N/A
45;196506;AMY;W. N. Pacific;1965;27.05.1965 12:00;120;976;#N/A;#N/A;#N/A;#N/A;#N/A
47;196517;LUCY;W. N. Pacific;1965;23.08.1965 00:00;186;940;#N/A;#N/A;#N/A;#N/A;#N/A
50;196614;VIOLA;W. N. Pacific;1966;22.08.1966 06:00;84;975;#N/A;#N/A;#N/A;#N/A;#N/A
51;196615;WINNIE;W. N. Pacific;1966;23.08.1966 12:00;60;970;#N/A;#N/A;#N/A;#N/A;#N/A
52;196619;DORIS;W. N. Pacific;1966;10.09.1966 12:00;84;980;#N/A;#N/A;#N/A;#N/A;#N/A
55;196715;NO-NAME;W. N. Pacific;1967;13.08.1967 00:00;18;988;#N/A;#N/A;#N/A;#N/A;#N/A
56;196718;LOUISE;W. N. Pacific;1967;23.08.1967 00:00;114;980;#N/A;#N/A;#N/A;#N/A;#N/A
58;196804;MARY;W. N. Pacific;1968;29.07.1968 06:00;198;925;#N/A;#N/A;#N/A;#N/A;#N/A
61;196907;ALICE;W. N. Pacific;1969;05.08.1969 00:00;60;985;#N/A;#N/A;#N/A;#N/A;#N/A
62;196909;CORA;W. N. Pacific;1969;23.08.1969 12:00;186;935;#N/A;#N/A;#N/A;#N/A;#N/A
63;197002;OLGA;W. N. Pacific;1970;06.07.1970 00:00;162;905;#N/A;#N/A;#N/A;#N/A;#N/A
64;197009;WILDA;W. N. Pacific;1970;16.08.1970 00:00;162;940;#N/A;#N/A;#N/A;#N/A;#N/A
66;197113;IVY;W. N. Pacific;1971;08.07.1971 18:00;84;990;#N/A;#N/A;#N/A;#N/A;#N/A
70;197206;PHYLLIS;W. N. Pacific;1972;15.07.1972 12:00;204;945;#N/A;#N/A;#N/A;#N/A;#N/A
71;197209;TESS;W. N. Pacific;1972;24.07.1972 06:00;372;940;#N/A;#N/A;#N/A;#N/A;#N/A
74;197414;MARY;W. N. Pacific;1974;26.08.1974 12:00;282;965;#N/A;#N/A;#N/A;#N/A;#N/A
75;197416;POLLY;W. N. Pacific;1974;03.09.1974 00:00;180;950;#N/A;#N/A;#N/A;#N/A;#N/A
76;197418;SHIRLEY;W. N. Pacific;1974;09.09.1974 00:00;102;970;#N/A;#N/A;#N/A;#N/A;#N/A
79;197612;ANITA;W. N. Pacific;1976;25.07.1976 00:00;42;980;#N/A;#N/A;#N/A;#N/A;#N/A
81;197707;AMY;W. N. Pacific;1977;24.08.1977 18:00;162;985;#N/A;#N/A;#N/A;#N/A;#N/A
82;197803;POLLY;W. N. Pacific;1978;20.06.1978 12:00;54;985;#N/A;#N/A;#N/A;#N/A;#N/A
83;197808;WENDY;W. N. Pacific;1978;03.08.1978 06:00;240;960;#N/A;#N/A;#N/A;#N/A;#N/A
84;197813;NO-NAME;W. N. Pacific;1978;20.08.1978 12:00;36;998;#N/A;#N/A;#N/A;#N/A;#N/A
85;197818;IRMA;W. N. Pacific;1978;15.09.1978 18:00;96;970;#N/A;#N/A;#N/A;#N/A;#N/A
86;197912;KEN;W. N. Pacific;1979;05.09.1979 00:00;60;990;#N/A;#N/A;#N/A;#N/A;#N/A
89;198013;ORCHID;W. N. Pacific;1980;12.09.1980 00:00;120;960;#N/A;#N/A;#N/A;#N/A;#N/A
90;198105;JUNE;W. N. Pacific;1981;22.06.1981 18:00;126;965;#N/A;#N/A;#N/A;#N/A;#N/A
91;198110;OGDEN;W. N. Pacific;1981;31.07.1981 00:00;66;975;#N/A;#N/A;#N/A;#N/A;#N/A
94;198213;ELLIS;W. N. Pacific;1982;28.08.1982 00:00;198;915;#N/A;#N/A;#N/A;#N/A;#N/A
96;198219;KEN;W. N. Pacific;1982;25.09.1982 06:00;210;940;#N/A;#N/A;#N/A;#N/A;#N/A
97;198305;ABBY;W. N. Pacific;1983;19.08.1983 00:00;330;895;#N/A;#N/A;#N/A;#N/A;#N/A
103;198811;NO-NAME;W. N. Pacific;1988;15.08.1988 12:00;18;1000;#N/A;#N/A;#N/A;#N/A;#N/A
104;198813;NO-NAME;W. N. Pacific;1988;16.08.1988 06:00;12;1000;#N/A;#N/A;#N/A;#N/A;#N/A
105;198906;ELLIS;W. N. Pacific;1989;24.06.1989 03:00;33;985;#N/A;#N/A;#N/A;#N/A;#N/A
108;198917;ROGER;W. N. Pacific;1989;28.08.1989 12:00;78;975;#N/A;#N/A;#N/A;#N/A;#N/A
110;199011;WINONA;W. N. Pacific;1990;11.08.1990 12:00;114;975;#N/A;#N/A;#N/A;#N/A;#N/A
114;199021;HATTIE;W. N. Pacific;1990;08.10.1990 09:00;165;950;#N/A;#N/A;#N/A;#N/A;#N/A
116;199114;HARRY;W. N. Pacific;1991;31.08.1991 12:00;36;992;#N/A;#N/A;#N/A;#N/A;#N/A
119;199209;IRVING;W. N. Pacific;1992;04.08.1992 12:00;60;980;#N/A;#N/A;#N/A;#N/A;#N/A
125;199311;VERNON;W. N. Pacific;1993;28.08.1993 06:00;144;965;#N/A;#N/A;#N/A;#N/A;#N/A
