Column1;Number;Name;Basin;Birth YMDHM (UTC);Death YMDHM (UTC);Length;Min Pressure (hPa);Dead or Missing;Injured;Destroyed Houses;Inundated Houses;Damage (bil. JPY)
127;199314;ZOLA;W. N. Pacific;1993;09.09.1993 06:00;60;985;#N/A;#N/A;#N/A;#N/A;#N/A
128;199407;WALT;W. N. Pacific;1994;25.07.1994 21:00;225;915;#N/A;#N/A;#N/A;#N/A;#N/A
129;199411;BRENDAN;W. N. Pacific;1994;02.08.1994 18:00;108;992;#N/A;#N/A;#N/A;#N/A;#N/A
130;199426;ORCHID;W. N. Pacific;1994;30.09.1994 06:00;276;925;#N/A;#N/A;#N/A;#N/A;#N/A
131;199514;RYAN;W. N. Pacific;1995;24.09.1995 09:00;195;940;#N/A;#N/A;#N/A;#N/A;#N/A
134;199707;OPAL;W. N. Pacific;1997;21.06.1997 00:00;120;960;#N/A;#N/A;#N/A;#N/A;#N/A
135;199708;PETER;W. N. Pacific;1997;28.06.1997 21:00;111;970;#N/A;#N/A;#N/A;#N/A;#N/A
149;200304;LINFA;W. N. Pacific;2003;31.05.2003 00:00;120;980;#N/A;#N/A;#N/A;#N/A;#N/A
151;200404;CONSON;W. N. Pacific;2004;11.06.2004 09:00;111;960;#N/A;#N/A;#N/A;#N/A;#N/A
164;200610;WUKONG;W. N. Pacific;2006;19.08.2006 12:00;156;980;#N/A;#N/A;#N/A;#N/A;#N/A
170;201004;DIANMU;W. N. Pacific;2010;12.08.2010 18:00;102;985;#N/A;#N/A;#N/A;#N/A;#N/A
171;201009;MALOU;W. N. Pacific;2010;08.09.2010 03:00;99;992;#N/A;#N/A;#N/A;#N/A;#N/A
176;201217;JELAWAT;W. N. Pacific;2012;01.10.2012 12:00;258;905;#N/A;#N/A;#N/A;#N/A;#N/A
177;201317;TORAJI;W. N. Pacific;2013;04.09.2013 00:00;54;985;#N/A;#N/A;#N/A;#N/A;#N/A
180;201411;HALONG;W. N. Pacific;2014;11.08.2014 00:00;312;920;#N/A;#N/A;#N/A;#N/A;#N/A
184;201512;HALOLA;W. N. Pacific;2015;26.07.2015 12:00;258;955;#N/A;#N/A;#N/A;#N/A;#N/A
187;201606;CONSON;W. N. Pacific;2016;15.08.2016 00:00;144;985;#N/A;#N/A;#N/A;#N/A;#N/A
188;201607;CHANTHU;W. N. Pacific;2016;17.08.2016 18:00;96;980;#N/A;#N/A;#N/A;#N/A;#N/A
189;201609;MINDULLE;W. N. Pacific;2016;23.08.2016 03:00;93;975;#N/A;#N/A;#N/A;#N/A;#N/A
191;201611;KOMPASU;W. N. Pacific;2016;21.08.2016 18:00;42;994;#N/A;#N/A;#N/A;#N/A;#N/A
199;201810;AMPIL;W. N. Pacific;2018;23.07.2018 12:00;120;985;#N/A;#N/A;#N/A;#N/A;#N/A
201;201815;LEEPI;W. N. Pacific;2018;15.08.2018 00:00;84;994;#N/A;#N/A;#N/A;#N/A;#N/A
210;202108;NEPARTAK;W. N. Pacific;2021;28.07.2021 06:00;114;990;#N/A;#N/A;#N/A;#N/A;#N/A
211;202109;LUPIT;W. N. Pacific;2021;09.08.2021 00:00;120;984;#N/A;#N/A;#N/A;#N/A;#N/A
27;195915;VERA;W. N. Pacific;1959;27.09.1959 12:00;144;895;5098;38921;833,965;363,611;--
12;195415;MARIE;W. N. Pacific;1954;28.09.1954 00:00;126;956;1761;1601;207,542;103,533;--
24;195822;IDA;W. N. Pacific;1958;27.09.1958 00:00;150;877;1269;1138;16,743;521,715;--
2;195115;RUTH;W. N. Pacific;1951;16.10.1951 00:00;168;924;943;2644;221,118;138,273;--
7;195313;TESS;W. N. Pacific;1953;27.09.1953 18:00;222;900;478;2559;86,398;495,875;--
53;196624;HELEN;W. N. Pacific;1966;25.09.1966 12:00;210;978;318;976;73,166;53,601;--
54;196626;IDA;W. N. Pacific;1966;25.09.1966 00:00;60;960;318;976;73,166;53,601;--
26;195907;GEORGIA;W. N. Pacific;1959;14.08.1959 18:00;66;960;235;1528;76,199;148,607;--
34;196118;NANCY;W. N. Pacific;1961;17.09.1961 18:00;234;890;202;4972;499,444;384,120;--
80;197617;FRAN;W. N. Pacific;1976;14.09.1976 00:00;234;910;169;435;11,193;442,317;208
9;195412;JUNE;W. N. Pacific;1954;16.09.1954 00:00;258;910;146;311;39,855;181,380;--
3;195202;DINAH;W. N. Pacific;1952;24.06.1952 18:00;108;960;135;28;425;39,712;--
209;201919;HAGIBIS;W. N. Pacific;2019;13.10.2019 03:00;177;915;121;388;75,758;29,941;--
88;197920;TIP;W. N. Pacific;1979;19.10.1979 18:00;324;870;111;478;7,523;37,450;105.7
49;196524;TRIX;W. N. Pacific;1965;18.09.1965 06:00;174;935;107;330;8,105;251,820;--
160;200423;TOKAGE;W. N. Pacific;2004;20.10.2004 18:00;186;940;99;704;19,235;54,850;93.4
173;201112;TALAS;W. N. Pacific;2011;05.09.2011 06:00;270;970;98;113;4,008;22,094;--
93;198210;BESS;W. N. Pacific;1982;02.08.1982 06:00;240;900;95;174;5,312;113,902;591.6
72;197220;HELEN;W. N. Pacific;1972;19.09.1972 00:00;138;955;85;157;4,213;146,547;--
77;197505;PHYLLIS;W. N. Pacific;1975;18.08.1975 00:00;138;920;77;209;2,419;50,222;--
48;196523;SHIRLEY;W. N. Pacific;1965;11.09.1965 00:00;126;940;73;883;63,436;49,626;--
23;195821;HELEN;W. N. Pacific;1958;19.09.1958 00:00;240;920;72;111;5,648;48,700;--
67;197119;OLIVE;W. N. Pacific;1971;07.08.1971 06:00;186;935;69;209;1,691;18,113;--
14;195522;LOUISE;W. N. Pacific;1955;30.09.1955 18:00;228;930;68;537;85,554;51,294;--
118;199119;MIREILLE;W. N. Pacific;1991;28.09.1991 06:00;294;925;62;1499;170,447;22,965;573.5
8;195405;GRACE;W. N. Pacific;1954;20.08.1954 12:00;204;940;61;69;5,442;32,265;--
31;196016;DELLA;W. N. Pacific;1960;30.08.1960 18:00;324;970;61;145;2,265;45,009;--
44;196420;WILDA;W. N. Pacific;1964;25.09.1964 18:00;156;895;56;530;71,269;44,751;--
6;195302;JUDY;W. N. Pacific;1953;07.06.1953 12:00;222;940;54;56;1,802;33,640;--
11;195414;LORNA;W. N. Pacific;1954;20.09.1954 00:00;192;950;54;41;422;43,762;--
126;199313;YANCY;W. N. Pacific;1993;04.09.1993 12:00;132;925;48;266;1,892;10,447;175.5
57;196734;DINAH;W. N. Pacific;1967;28.10.1967 00:00;258;950;47;41;2,959;26,842;--
30;196012;WENDY;W. N. Pacific;1960;13.08.1960 06:00;66;990;47;154;449;21,144;--
157;200418;SONGDA;W. N. Pacific;2004;08.09.2004 00:00;264;925;47;1364;57,466;10,026;126.2
22;195817;FLOSSIE;W. N. Pacific;1958;26.08.1958 00:00;120;970;45;39;1,996;17,641;--
194;201703;NANMADOL;W. N. Pacific;2017;05.07.2017 00:00;72;985;44;39;1,528;2,336;--
98;198310;FORREST;W. N. Pacific;1983;28.09.1983 06:00;186;885;44;118;640;56,267;80.5
68;197123;TRIX;W. N. Pacific;1971;01.09.1971 12:00;276;915;44;103;1,427;122,290;--
92;198115;THAD;W. N. Pacific;1981;23.08.1981 12:00;174;955;43;173;4,401;31,082;227.2
21;195811;ALICE;W. N. Pacific;1958;24.07.1958 18:00;252;925;40;64;1,089;46,243;--
112;199019;FLO;W. N. Pacific;1990;20.09.1990 06:00;174;890;40;131;16,541;18,183;132.2
95;198218;JUDY;W. N. Pacific;1982;13.09.1982 00:00;168;955;38;174;651;136,308;125.8
18;195609;BABS;W. N. Pacific;1956;18.08.1956 18:00;156;960;36;213;37,341;10,431;--
143;199918;BART;W. N. Pacific;1999;25.09.1999 03:00;147;930;36;1077;47,150;23,218;163.1
78;197506;RITA;W. N. Pacific;1975;24.08.1975 00:00;120;965;33;51;711;48,832;34
19;195615;HARRIET;W. N. Pacific;1956;28.09.1956 06:00;144;953;31;41;4,170;47,520;--
100;198513;PAT;W. N. Pacific;1985;01.09.1985 12:00;150;955;31;232;7,805;2,858;71.4
101;198514;RUBY;W. N. Pacific;1985;01.09.1985 00:00;96;985;31;232;7,805;2,858;71.4
42;196309;BESS;W. N. Pacific;1963;10.08.1963 12:00;276;930;29;46;2,064;25,166;--
163;200514;NABI;W. N. Pacific;2005;08.09.2005 06:00;234;925;29;179;7,452;21,160;94.9
190;201610;LIONROCK;W. N. Pacific;2016;30.08.2016 15:00;219;940;29;14;3,973;2,031;--
73;197306;ELLEN;W. N. Pacific;1973;29.07.1973 00:00;126;940;29;10;110;37,783;--
46;196515;JEAN;W. N. Pacific;1965;07.08.1965 00:00;162;940;28;368;58,951;5,716;--
158;200421;MEARI;W. N. Pacific;2004;30.09.2004 00:00;222;940;27;95;3,068;19,153;21
59;196810;TRIX;W. N. Pacific;1968;29.08.1968 12:00;132;980;27;68;263;24,386;--
65;197010;ANITA;W. N. Pacific;1970;22.08.1970 18:00;156;910;27;556;48,652;59,961;--
150;200310;ETAU;W. N. Pacific;2003;09.08.2003 18:00;156;945;20;93;708;2,253;35.1
186;201518;ETAU;W. N. Pacific;2015;09.09.2015 06:00;42;985;20;82;7,555;15,782;--
69;197129;CARMEN;W. N. Pacific;1971;26.09.1971 18:00;24;990;20;11;30;59,665;--
174;201115;ROKE;W. N. Pacific;2011;22.09.2011 06:00;216;940;19;337;3,739;7,840;--
139;199807;VICKI;W. N. Pacific;1998;23.09.1998 00:00;132;960;18;569;21,165;8,692;--
140;199808;WALDO;W. N. Pacific;1998;21.09.1998 12:00;30;994;18;569;21,165;8,692;--
156;200416;CHABA;W. N. Pacific;2004;31.08.2004 06:00;282;910;18;285;8,627;46,581;105.4
122;199304;NATHAN;W. N. Pacific;1993;25.07.1993 03:00;123;980;18;20;143;4,316;17.8
123;199305;OFELIA;W. N. Pacific;1993;27.07.1993 18:00;48;990;18;20;143;4,316;17.8
124;199306;PERCY;W. N. Pacific;1993;30.07.1993 12:00;54;975;18;20;143;4,316;17.8
99;198506;IRMA;W. N. Pacific;1985;01.07.1985 06:00;144;960;16;49;811;12,691;130.3
107;198913;MAC;W. N. Pacific;1989;07.08.1989 18:00;180;950;15;26;159;5,063;--
203;201821;JEBI;W. N. Pacific;2018;05.09.2018 00:00;198;915;14;980;97,910;707;--
141;199810;ZEB;W. N. Pacific;1998;18.10.1998 00:00;174;900;14;67;770;12,548;--
87;197916;OWEN;W. N. Pacific;1979;01.10.1979 06:00;192;920;12;83;1,503;68,216;107.4
137;199719;OLIWA;W. N. Pacific;1997;16.09.1997 21:00;309;915;12;25;216;16,016;40.3
155;200415;MEGI;W. N. Pacific;2004;20.08.2004 09:00;99;970;12;24;513;2,724;39.7
117;199117;KINNA;W. N. Pacific;1991;14.09.1991 12:00;78;955;11;94;382;2,586;51.1
60;196816;DELLA;W. N. Pacific;1968;25.09.1968 06:00;198;930;11;80;5,715;15,322;--
165;200613;SHANSHAN;W. N. Pacific;2006;18.09.2006 12:00;192;919;11;556;9,251;934;17.4
106;198911;JUDY;W. N. Pacific;1989;29.07.1989 00:00;144;940;11;--;76;10,664;--
102;198719;KELLY;W. N. Pacific;1987;17.10.1987 12:00;162;955;9;17;216;24,044;52.9
208;201915;FAXAI;W. N. Pacific;2019;10.09.2019 00:00;126;955;9;160;93,096;276;--
109;198922;WAYNE;W. N. Pacific;1989;20.09.1989 06:00;69;970;8;8;247;5,824;--
145;200115;DANAS;W. N. Pacific;2001;12.09.2001 06:00;198;945;8;48;140;1,158;11.1
197;201721;LAN;W. N. Pacific;2017;23.10.2017 00:00;174;915;8;245;3,132;8,183;--
121;199211;KENT;W. N. Pacific;1992;19.08.1992 06:00;312;930;8;2;13;379;1.7
159;200422;MA-ON;W. N. Pacific;2004;10.10.2004 00:00;138;920;8;169;5,553;7,843;5.8
144;200111;PABUK;W. N. Pacific;2001;22.08.2001 18:00;198;960;8;141;154;1,052;6.3
166;200704;MAN-YI;W. N. Pacific;2007;16.07.2007 00:00;168;930;7;83;295;3,993;25.3
181;201418;PHANFONE;W. N. Pacific;2014;06.10.2014 12:00;174;935;7;72;257;2,540;--
120;199210;JANIS;W. N. Pacific;1992;09.08.1992 03:00;129;935;7;67;1,561;1,508;74
178;201318;MAN-YI;W. N. Pacific;2013;16.09.2013 12:00;84;960;7;143;1,650;10,089;--
152;200406;DIANMU;W. N. Pacific;2004;21.06.2004 18:00;198;915;7;116;180;202;9.2
138;199805;STELLA;W. N. Pacific;1998;16.09.1998 12:00;66;965;6;50;601;5,840;--
146;200206;CHATAAN;W. N. Pacific;2002;11.07.2002 15:00;303;930;6;29;210;10,270;35.3
111;199014;ZOLA;W. N. Pacific;1990;23.08.1990 00:00;138;960;6;24;67;420;15.1
113;199020;GENE;W. N. Pacific;1990;30.09.1990 12:00;156;950;6;20;210;13,318;22.9
169;200918;MELOR;W. N. Pacific;2009;08.10.2009 12:00;204;910;6;133;2,387;3,310;21.8
148;200221;HIGOS;W. N. Pacific;2002;02.10.2002 06:00;132;930;5;96;1,076;1,950;18.3
196;201718;TALIM;W. N. Pacific;2017;17.09.2017 18:00;198;935;5;73;1,424;7,475;--
133;199612;KIRK;W. N. Pacific;1996;16.08.1996 00:00;246;955;4;77;2,989;1,675;20.6
204;201824;TRAMI;W. N. Pacific;2018;01.10.2018 00:00;234;915;4;231;10,407;2,163;--
115;199028;PAGE;W. N. Pacific;1990;30.11.1990 09:00;195;910;4;12;162;1,544;4.8
182;201419;VONGFONG;W. N. Pacific;2014;14.10.2014 00:00;246;900;3;96;134;836;--
168;200709;FITOW;W. N. Pacific;2007;08.09.2007 00:00;240;965;3;87;672;1,345;16.6
179;201408;NEOGURI;W. N. Pacific;2014;11.07.2014 00:00;174;930;3;66;122;1,367;--
172;201106;MA-ON;W. N. Pacific;2011;24.07.2011 12:00;300;935;3;54;32;150;--
136;199709;ROSIE;W. N. Pacific;1997;27.07.1997 21:00;189;920;3;47;78;2,057;11.1
154;200411;MALOU;W. N. Pacific;2004;04.08.2004 21:00;21;996;3;19;92;2,638;--
153;200410;NAMTHEUN;W. N. Pacific;2004;02.08.2004 00:00;192;935;3;17;113;2,215;10.3
142;199916;ZIA;W. N. Pacific;1999;15.09.1999 06:00;24;985;2;6;112;1,663;2.1
207;201910;KROSA;W. N. Pacific;2019;16.08.2019 12:00;246;965;2;58;60;10;--
183;201511;NANGKA;W. N. Pacific;2015;17.07.2015 12:00;330;925;2;57;199;512;--
195;201705;NORU;W. N. Pacific;2017;08.08.2017 12:00;456;935;2;51;259;393;--
175;201204;GUCHOL;W. N. Pacific;2012;20.06.2012 00:00;156;930;1;79;117;285;--
206;201908;FRANCISCO;W. N. Pacific;2019;07.08.2019 00:00;108;970;1;5;12;16;--
193;201616;MALAKAS;W. N. Pacific;2016;20.09.2016 12:00;186;930;1;47;2,279;2,455;--
132;199606;EVE;W. N. Pacific;1996;19.07.1996 06:00;120;940;1;27;2,361;933;78.8
185;201515;GONI;W. N. Pacific;2015;25.08.2015 12:00;258;930;1;147;3,705;397;--
147;200207;HALONG;W. N. Pacific;2002;16.07.2002 18:00;216;945;0;9;229;301;--
212;202114;CHANTHU;W. N. Pacific;2021;18.09.2021 06:00;282;905;0;9;56;229;--
162;200511;MAWAR;W. N. Pacific;2005;28.08.2005 00:00;198;930;0;6;25;89;--
161;200507;BANYAN;W. N. Pacific;2005;28.07.2005 00:00;150;975;0;5;2;--;--
200;201812;JONGDARI;W. N. Pacific;2018;03.08.2018 00:00;216;960;0;35;273;37;--
202;201820;CIMARON;W. N. Pacific;2018;24.08.2018 12:00;144;950;0;35;639;322;--
167;200705;USAGI;W. N. Pacific;2007;04.08.2007 06:00;144;945;0;30;163;637;--
198;201722;SAOLA;W. N. Pacific;2017;29.10.2017 12:00;120;975;0;22;185;220;--
192;201612;NAMTHEUN;W. N. Pacific;2016;04.09.2016 18:00;90;955;0;1;--;--;--
205;201906;NARI;W. N. Pacific;2019;27.07.2019 06:00;36;998;0;--;1;1;--
