"","id","time","name","lat","long","radious"
"1","2006329N06150",2006-11-24 12:00:00,"DURIAN",6.1,149.8,NA
"2","2006329N06150",2006-11-24 15:00:00,"DURIAN",6.2101,149.292,NA
"3","2006329N06150",2006-11-24 18:00:00,"DURIAN",6.4,148.8,NA
"4","2006329N06150",2006-11-24 21:00:00,"DURIAN",6.71996,148.335,NA
"5","2006329N06150",2006-11-25 00:00:00,"DURIAN",7.1,147.9,NA
"6","2006329N06150",2006-11-25 03:00:00,"DURIAN",7.46492,147.5,NA
"7","2006329N06150",2006-11-25 06:00:00,"DURIAN",8.4,147.133,NA
"8","2006329N06150",2006-11-25 09:00:00,"DURIAN",8.79325,146.64,NA
"9","2006329N06150",2006-11-25 12:00:00,"DURIAN",9.02,146.14,NA
"10","2006329N06150",2006-11-25 15:00:00,"DURIAN",9.22732,145.696,NA
"11","2006329N06150",2006-11-25 18:00:00,"DURIAN",9.36154,145.262,NA
"12","2006329N06150",2006-11-25 21:00:00,"DURIAN",9.56177,144.714,NA
"13","2006329N06150",2006-11-26 00:00:00,"DURIAN",9.76,144.107,NA
"14","2006329N06150",2006-11-26 03:00:00,"DURIAN",9.88498,143.471,NA
"15","2006329N06150",2006-11-26 06:00:00,"DURIAN",9.975,142.825,NA
"16","2006329N06150",2006-11-26 09:00:00,"DURIAN",10.0699,142.231,NA
"17","2006329N06150",2006-11-26 12:00:00,"DURIAN",10.15,141.675,32.5
"18","2006329N06150",2006-11-26 15:00:00,"DURIAN",10.2218,141.137,32.5
"19","2006329N06150",2006-11-26 18:00:00,"DURIAN",10.275,140.625,32.5
"20","2006329N06150",2006-11-26 21:00:00,"DURIAN",10.2943,140.128,32.5
"21","2006329N06150",2006-11-27 00:00:00,"DURIAN",10.325,139.65,32.5
"22","2006329N06150",2006-11-27 03:00:00,"DURIAN",10.4155,139.195,38.75
"23","2006329N06150",2006-11-27 06:00:00,"DURIAN",10.525,138.725,45
"24","2006329N06150",2006-11-27 09:00:00,"DURIAN",10.618,138.223,46
"25","2006329N06150",2006-11-27 12:00:00,"DURIAN",10.7,137.65,47.5
"26","2006329N06150",2006-11-27 15:00:00,"DURIAN",10.7398,136.995,51.75
"27","2006329N06150",2006-11-27 18:00:00,"DURIAN",10.825,136.25,56.25
"28","2006329N06150",2006-11-27 21:00:00,"DURIAN",11.0326,135.418,57.75
"29","2006329N06150",2006-11-28 00:00:00,"DURIAN",11.3,134.575,60
"30","2006329N06150",2006-11-28 03:00:00,"DURIAN",11.5715,133.826,61.5
"31","2006329N06150",2006-11-28 06:00:00,"DURIAN",11.825,133.1,63.75
"32","2006329N06150",2006-11-28 09:00:00,"DURIAN",12.0092,132.337,65.25
"33","2006329N06150",2006-11-28 12:00:00,"DURIAN",12.175,131.575,67.5
"34","2006329N06150",2006-11-28 15:00:00,"DURIAN",12.3748,130.836,74.5
