"STATE_ABBR","mean","Year"
"AK",0.00109081631716417,1990
"AL",0.683971097689937,1990
"AR",0.00744066223249597,1990
"AZ",0.00841227979678606,1990
"CA",0.0370227288270236,1990
"CO",0.0331151168242873,1990
"CT",0.0720512807751313,1990
"DC",0.0232009853943367,1990
"FL",0.0331431156016001,1990
"HI",0.00170237623287093,1990
"IA",0.190983608365059,1990
"ID",0.130181816728278,1990
"IL",0.0860339301382872,1990
"IN",0.261539278125327,1990
"KS",0.0120658042643055,1990
"LA",0.0313856140203905,1990
"MA",0.0363865542233366,1990
"MD",0.0324617940684985,1990
"ME",0.020406474996923,1990
"MI",0.0167402190303287,1990
"MN",0.519412473306667,1990
"MO",0.513900430260704,1990
"MS",0.0700000002980232,1990
"MT",0.508070030385347,1990
"NE",0.746749995625578,1990
"NJ",0.119590238827574,1990
"NM",0.0792946857996375,1990
"NV",0.00120779220770754,1990
"NY",0.146693787162782,1990
"OH",0.210624746154299,1990
"OK",0.0262413793612785,1990
"OR",0.00143783783612496,1990
"PA",0.499339035087197,1990
"PR",0.0117870721852711,1990
"SC",0.0243551913328225,1990
"SD",0.00127711538404513,1990
"TN",0.630534491260594,1990
"TX",0.13303173206415,1990
"UT",0.0233058529858453,1990
"VA",0.0314008811446453,1990
"VI",0.00108555555925705,1990
"VT",0.018095237690778,1990
"WA",0.131120939741899,1990
"WI",0.0595798309141097,1990
"WV",0.0293131864906012,1990
"WY",0.00133583333129839,1990
"AK",0.000937403845735109,1991
"AL",0.578959946388957,1991
"AR",0.0113650534710026,1991
"AZ",0.0126340294073518,1991
"CA",0.0703557342128301,1991
"CO",0.0314282919524678,1991
"CT",0.0669999990612268,1991
"DC",0.0230983811892944,1991
"FL",0.171375618245605,1991
"GA",0.00177083333498255,1991
"HI",0.00172308476590473,1991
"IA",0.185593223041397,1991
"ID",0.0840740734021421,1991
"IL",0.326936263258777,1991
"IN",0.199185568249834,1991
"KS",0.013249854809393,1991
"KY",0.00273531248421932,1991
"LA",0.0225677054940008,1991
"MA",0.0148093840189256,1991
"MD",0.0304605263319038,1991
"ME",0.0150918530663475,1991
"MI",0.0130722473491897,1991
"MN",0.330092260952447,1991
"MO",0.790366825971629,1991
"MS",0.0700000002980232,1991
"MT",0.432454422097185,1991
"NE",0.742528000342846,1991
"NJ",0.256069279835367,1991
"NM",0.0585956437937399,1991
"NV",0.00123837209058936,1991
"NY",0.163637663995045,1991
"OH",0.101948999514182,1991
