"MONTH","YEAR","mean"
"01","1990",0.241858447180211
"02","1990",0.1595037013959
"03","1990",0.214110639284576
"04","1990",0.162635892916985
"05","1990",0.138602800667309
"06","1990",0.177817514952409
"07","1990",0.178694197897308
"08","1990",0.20283708937085
"09","1990",0.213379319972133
"10","1990",0.261561820505795
"11","1990",0.245581300263391
"12","1990",0.215417907187335
"01","1991",0.187379079221908
"02","1991",0.244011425583482
"03","1991",0.212037884877627
"04","1991",0.182084020676485
"05","1991",0.169488023371359
"06","1991",0.156116427532854
"07","1991",0.201601911529472
"08","1991",0.189783331030727
"09","1991",0.199623485169408
"10","1991",0.242349177987742
"11","1991",0.22086637417771
"12","1991",0.231051564107576
"01","1992",0.198264125964778
"02","1992",0.216712199813776
"03","1992",0.209066793681523
"04","1992",0.311158043753113
"05","1992",0.275367904721862
"06","1992",0.178643998228719
"07","1992",0.227093777961363
"08","1992",0.337309668896994
"09","1992",0.25994768577407
"10","1992",0.316902223150492
"11","1992",0.295047483403073
"12","1992",0.39050389566168
"01","1993",0.414831132154533
"02","1993",0.471002136980871
"03","1993",0.333206186910655
"04","1993",0.40631598419191
"05","1993",0.255260528508181
"06","1993",0.331644198710588
"07","1993",0.321166288690864
"08","1993",0.295963489524344
"09","1993",0.319978093670056
"10","1993",0.485505097821656
"11","1993",0.456395013266399
"12","1993",0.340597060666855
"01","1994",0.306516566187293
"02","1994",0.315550955005197
"03","1994",0.30766121712152
"04","1994",0.341868885768785
"05","1994",0.300645209729376
"06","1994",0.224923007955315
"07","1994",0.282450994614197
"08","1994",0.34583617677848
"09","1994",0.285255796296005
"10","1994",0.298319247216251
"11","1994",0.225651227893229
"12","1994",0.230185837917374
"01","1995",0.213863637334526
"02","1995",0.238662171085848
"03","1995",0.312309955608874
"04","1995",0.267428124807278
"05","1995",0.173107561969507
"06","1995",0.289146669423131
"07","1995",0.215668411745282
"08","1995",0.263453578775944
"09","1995",0.258202017422863
"10","1995",0.279603031036189
"11","1995",0.243751289096522
"12","1995",0.251412874570672
"01","1996",0.228451843787512
"02","1996",0.266934976669172
"03","1996",0.268298397507142
"04","1996",0.313223404500134
"05","1996",0.235833303049215
"06","1996",0.261487118361128
"07","1996",0.226273579651972
"08","1996",0.215362524702569
"09","1996",0.174995345125965
"10","1996",0.286451263913309
"11","1996",0.162993404650002
"12","1996",0.139351126611595
"01","1997",0.124595817648235
"02","1997",0.103462697128674
"03","1997",0.1405057099862
"04","1997",0.144319143417327
"05","1997",0.140498157175735
"06","1997",0.165053787087374
"07","1997",0.091824247257537
"08","1997",0.108174426043173
"09","1997",0.0997717479994585
"10","1997",0.112941552736298
"11","1997",0.124401513688673
"12","1997",0.0945171355573221
"01","1998",0.0943994689727984
"02","1998",0.12799157850077
"03","1998",0.142217632658309
"04","1998",0.130782598541825
"05","1998",0.136685176906548
"06","1998",0.119483969862408
"07","1998",0.0926641139243774
"08","1998",0.106720524393683
"09","1998",0.107578966807028
"10","1998",0.134925088328695
"11","1998",0.162939718822946
"12","1998",0.119637169196001
"01","1999",0.136565920549644
"02","1999",0.144991006906233
"03","1999",0.158487613491128
"04","1999",0.135990773239581
"05","1999",0.127346816251152
"06","1999",0.125354051876758
"07","1999",0.0964491890895932
"08","1999",0.101896348793176
"09","1999",0.0984298053674677
