Entity,Code,Year,"Land use per 100g protein (Poore & Nemecek, 2018)"
Apples,,2010,21
Bananas,,2010,21.44444444
Beef (beef herd),,2010,163.5957874
Beef (dairy herd),,2010,21.9047619
Berries & Grapes,,2010,24.1
Brassicas,,2010,5
Cassava,,2010,20.11111111
Cheese,,2010,39.75996377
Citrus Fruit,,2010,14.33333333
Coffee,,2010,27.025
Dark Chocolate,,2010,137.92
Eggs,,2010,5.650684932
Fish (farmed),,2010,3.687787766
Grains,,2010,4.6
Groundnuts,,2010,3.479755539
Lamb & Mutton,,2010,184.8125937
Maize,,2010,3.094736842
Milk,,2010,27.12121212
Nuts,,2010,7.936313533
Oatmeal,,2010,5.846153846
Onions & Leeks,,2010,3
Other Pulses,,2010,7.272302662
Peas,,2010,3.357335734
Pig Meat,,2010,10.72929543
Potatoes,,2010,5.176470588
Poultry Meat,,2010,7.055427252
Prawns (farmed),,2010,2.010832769
Rice,,2010,3.943661972
Root Vegetables,,2010,3.3
Tofu (soybeans),,2010,2.2
Tomatoes,,2010,7.272727273
Wheat & Rye,,2010,3.155737705
