Domain,Area,Element,Item,Year,Unit,Value
"Forestry Production and Trade","Africa","Production","Roundwood","2014","m3","744762370"
"Forestry Production and Trade","Africa","Production","Roundwood","2015","m3","754369982"
"Forestry Production and Trade","Africa","Production","Roundwood","2016","m3","761416521"
"Forestry Production and Trade","Africa","Production","Roundwood","2017","m3","768063038"
"Forestry Production and Trade","Africa","Production","Roundwood","2018","m3","778152942"
"Forestry Production and Trade","Africa","Production","Roundwood","2019","m3","784365977"
"Forestry Production and Trade","Africa","Production","Roundwood","2020","m3","791610091"
"Forestry Production and Trade","Africa","Production","Wood fuel","1961","m3","252388385"
"Forestry Production and Trade","Africa","Production","Wood fuel","1962","m3","255881967"
"Forestry Production and Trade","Africa","Production","Wood fuel","1963","m3","260210272"
"Forestry Production and Trade","Africa","Production","Wood fuel","1964","m3","264975171"
"Forestry Production and Trade","Africa","Production","Wood fuel","1965","m3","269634184"
"Forestry Production and Trade","Africa","Production","Wood fuel","1966","m3","281670329"
"Forestry Production and Trade","Africa","Production","Wood fuel","1967","m3","286933466"
"Forestry Production and Trade","Africa","Production","Wood fuel","1968","m3","291659906"
"Forestry Production and Trade","Africa","Production","Wood fuel","1969","m3","296562212"
"Forestry Production and Trade","Africa","Production","Wood fuel","1970","m3","301564576"
"Forestry Production and Trade","Africa","Production","Wood fuel","1971","m3","304760568"
"Forestry Production and Trade","Africa","Production","Wood fuel","1972","m3","307551252"
"Forestry Production and Trade","Africa","Production","Wood fuel","1973","m3","311615952"
"Forestry Production and Trade","Africa","Production","Wood fuel","1974","m3","315358804"
"Forestry Production and Trade","Africa","Production","Wood fuel","1975","m3","322712151"
"Forestry Production and Trade","Africa","Production","Wood fuel","1976","m3","327475603"
"Forestry Production and Trade","Africa","Production","Wood fuel","1977","m3","333417240"
"Forestry Production and Trade","Africa","Production","Wood fuel","1978","m3","341878614"
"Forestry Production and Trade","Africa","Production","Wood fuel","1979","m3","348507295"
"Forestry Production and Trade","Africa","Production","Wood fuel","1980","m3","356346248"
"Forestry Production and Trade","Africa","Production","Wood fuel","1981","m3","365705608"
"Forestry Production and Trade","Africa","Production","Wood fuel","1982","m3","374181470"
"Forestry Production and Trade","Africa","Production","Wood fuel","1983","m3","383875658"
"Forestry Production and Trade","Africa","Production","Wood fuel","1984","m3","394533061"
"Forestry Production and Trade","Africa","Production","Wood fuel","1985","m3","403341988"
"Forestry Production and Trade","Africa","Production","Wood fuel","1986","m3","411205889"
"Forestry Production and Trade","Africa","Production","Wood fuel","1987","m3","419176996"
"Forestry Production and Trade","Africa","Production","Wood fuel","1988","m3","427141906"
"Forestry Production and Trade","Africa","Production","Wood fuel","1989","m3","436215808"
"Forestry Production and Trade","Africa","Production","Wood fuel","1990","m3","445047414"
"Forestry Production and Trade","Africa","Production","Wood fuel","1991","m3","455269325"
"Forestry Production and Trade","Africa","Production","Wood fuel","1992","m3","469628129"
"Forestry Production and Trade","Africa","Production","Wood fuel","1993","m3","484033833"
"Forestry Production and Trade","Africa","Production","Wood fuel","1994","m3","499239789"
"Forestry Production and Trade","Africa","Production","Wood fuel","1995","m3","513120894"
"Forestry Production and Trade","Africa","Production","Wood fuel","1996","m3","521444084"
"Forestry Production and Trade","Africa","Production","Wood fuel","1997","m3","527343636"
"Forestry Production and Trade","Africa","Production","Wood fuel","1998","m3","530917006"
"Forestry Production and Trade","Africa","Production","Wood fuel","1999","m3","536615603"
"Forestry Production and Trade","Africa","Production","Wood fuel","2000","m3","551284119"
"Forestry Production and Trade","Africa","Production","Wood fuel","2001","m3","561314378"
"Forestry Production and Trade","Africa","Production","Wood fuel","2002","m3","566499758"
"Forestry Production and Trade","Africa","Production","Wood fuel","2003","m3","575280165"
"Forestry Production and Trade","Africa","Production","Wood fuel","2004","m3","584258222"
"Forestry Production and Trade","Africa","Production","Wood fuel","2005","m3","599843755"
"Forestry Production and Trade","Africa","Production","Wood fuel","2006","m3","610627772"
"Forestry Production and Trade","Africa","Production","Wood fuel","2007","m3","618358867"
"Forestry Production and Trade","Africa","Production","Wood fuel","2008","m3","627444190"
"Forestry Production and Trade","Africa","Production","Wood fuel","2009","m3","635187512"
"Forestry Production and Trade","Africa","Production","Wood fuel","2010","m3","643631836"
"Forestry Production and Trade","Africa","Production","Wood fuel","2011","m3","652909846"
"Forestry Production and Trade","Africa","Production","Wood fuel","2012","m3","657260358"
"Forestry Production and Trade","Africa","Production","Wood fuel","2013","m3","664136893"
"Forestry Production and Trade","Africa","Production","Wood fuel","2014","m3","671269729"
"Forestry Production and Trade","Africa","Production","Wood fuel","2015","m3","679491866"
"Forestry Production and Trade","Africa","Production","Wood fuel","2016","m3","686439535"
"Forestry Production and Trade","Africa","Production","Wood fuel","2017","m3","693120688"
"Forestry Production and Trade","Africa","Production","Wood fuel","2018","m3","700071542"
"Forestry Production and Trade","Africa","Production","Wood fuel","2019","m3","706068834"
"Forestry Production and Trade","Africa","Production","Wood fuel","2020","m3","712407955"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","1961","m3","24675000"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","1962","m3","25891000"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","1963","m3","32627000"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","1964","m3","29121000"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","1965","m3","31652000"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","1966","m3","32744000"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","1967","m3","33567000"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","1968","m3","35085300"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","1969","m3","38469000"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","1970","m3","39112600"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","1971","m3","40836400"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","1972","m3","41040300"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","1973","m3","43105200"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","1974","m3","41361500"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","1975","m3","41774800"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","1976","m3","43481500"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","1977","m3","44246900"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","1978","m3","46151000"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","1979","m3","47177200"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","1980","m3","50105500"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","1981","m3","51011450"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","1982","m3","50443600"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","1983","m3","51715600"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","1984","m3","51440800"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","1985","m3","54235400"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","1986","m3","53875811"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","1987","m3","56410108"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","1988","m3","58034449"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","1989","m3","60078505"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","1990","m3","61165467"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","1991","m3","60218171"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","1992","m3","60176345"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","1993","m3","61412341"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","1994","m3","66050529"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","1995","m3","66995842"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","1996","m3","68476874"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","1997","m3","70538013"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","1998","m3","70462105"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","1999","m3","68867888"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","2000","m3","71311425"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","2001","m3","69774725"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","2002","m3","70585994"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","2003","m3","73636670"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","2004","m3","74009878"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","2005","m3","74686632"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","2006","m3","76848977"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","2007","m3","74742933"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","2008","m3","75025472"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","2009","m3","72399066"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","2010","m3","71756119"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","2011","m3","69715809"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","2012","m3","72424666"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","2013","m3","71816790"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","2014","m3","73492641"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","2015","m3","74878116"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","2016","m3","74976986"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","2017","m3","74942350"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","2018","m3","78081400"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","2019","m3","78297143"
"Forestry Production and Trade","Africa","Production","Industrial roundwood","2020","m3","79202136"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","1961","m3","11232000"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","1962","m3","11493000"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","1963","m3","17275000"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","1964","m3","13418000"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","1965","m3","14403000"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","1966","m3","14538000"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","1967","m3","14949000"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","1968","m3","16017300"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","1969","m3","18672000"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","1970","m3","18694600"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","1971","m3","19591400"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","1972","m3","19359300"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","1973","m3","21027200"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","1974","m3","18610500"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","1975","m3","18117800"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","1976","m3","19191500"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","1977","m3","20067900"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","1978","m3","20925300"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","1979","m3","21528500"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","1980","m3","23141900"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","1981","m3","22989850"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","1982","m3","21750200"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","1983","m3","21094100"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","1984","m3","21958100"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","1985","m3","22170300"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","1986","m3","21414811"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","1987","m3","21249308"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","1988","m3","21680599"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","1989","m3","22653305"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","1990","m3","24513067"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","1991","m3","22775371"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","1992","m3","22886645"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","1993","m3","23739941"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","1994","m3","25769629"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","1995","m3","26540342"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","1996","m3","27703224"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","1997","m3","29228313"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","1998","m3","28589855"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","1999","m3","27057988"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","2000","m3","27871625"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","2001","m3","27873825"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","2002","m3","27886194"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","2003","m3","28031670"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","2004","m3","26618264"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","2005","m3","27576240"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","2006","m3","29070335"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","2007","m3","29627479"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","2008","m3","29965295"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","2009","m3","27918179"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","2010","m3","28101589"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","2011","m3","28878264"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","2012","m3","30440138"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","2013","m3","31843837"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","2014","m3","34219752"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","2015","m3","35254056"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","2016","m3","35812091"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","2017","m3","36367252"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","2018","m3","37874541"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","2019","m3","35631823"
"Forestry Production and Trade","Africa","Production","Sawlogs and veneer logs","2020","m3","38852644"
"Forestry Production and Trade","Africa","Production","Pulpwood, round and split, all species (production)","1998","m3","11898000"
"Forestry Production and Trade","Africa","Production","Pulpwood, round and split, all species (production)","1999","m3","11730400"
"Forestry Production and Trade","Africa","Production","Pulpwood, round and split, all species (production)","2000","m3","14127900"
"Forestry Production and Trade","Africa","Production","Pulpwood, round and split, all species (production)","2001","m3","14356600"
"Forestry Production and Trade","Africa","Production","Pulpwood, round and split, all species (production)","2002","m3","14001500"
"Forestry Production and Trade","Africa","Production","Pulpwood, round and split, all species (production)","2003","m3","16915300"
"Forestry Production and Trade","Africa","Production","Pulpwood, round and split, all species (production)","2004","m3","18192057"
"Forestry Production and Trade","Africa","Production","Pulpwood, round and split, all species (production)","2005","m3","18450054"
"Forestry Production and Trade","Africa","Production","Pulpwood, round and split, all species (production)","2006","m3","19022040"
"Forestry Production and Trade","Africa","Production","Pulpwood, round and split, all species (production)","2007","m3","16004187"
"Forestry Production and Trade","Africa","Production","Pulpwood, round and split, all species (production)","2008","m3","16105484"
"Forestry Production and Trade","Africa","Production","Pulpwood, round and split, all species (production)","2009","m3","15063306"
"Forestry Production and Trade","Africa","Production","Pulpwood, round and split, all species (production)","2010","m3","13685120"
"Forestry Production and Trade","Africa","Production","Pulpwood, round and split, all species (production)","2011","m3","12476412"
"Forestry Production and Trade","Africa","Production","Pulpwood, round and split, all species (production)","2012","m3","14078240"
"Forestry Production and Trade","Africa","Production","Pulpwood, round and split, all species (production)","2013","m3","11954135"
"Forestry Production and Trade","Africa","Production","Pulpwood, round and split, all species (production)","2014","m3","10751471"
"Forestry Production and Trade","Africa","Production","Pulpwood, round and split, all species (production)","2015","m3","11372582"
"Forestry Production and Trade","Africa","Production","Pulpwood, round and split, all species (production)","2016","m3","10745676"
"Forestry Production and Trade","Africa","Production","Pulpwood, round and split, all species (production)","2017","m3","10173727"
"Forestry Production and Trade","Africa","Production","Pulpwood, round and split, all species (production)","2018","m3","12022433"
"Forestry Production and Trade","Africa","Production","Pulpwood, round and split, all species (production)","2019","m3","14454533"
"Forestry Production and Trade","Africa","Production","Pulpwood, round and split, all species (production)","2020","m3","12091967"
"Forestry Production and Trade","Africa","Production","Wood chips, particles and residues","1998","m3","1670450"
"Forestry Production and Trade","Africa","Production","Wood chips, particles and residues","1999","m3","1673050"
"Forestry Production and Trade","Africa","Production","Wood chips, particles and residues","2000","m3","1677050"
"Forestry Production and Trade","Africa","Production","Wood chips, particles and residues","2001","m3","1677050"
"Forestry Production and Trade","Africa","Production","Wood chips, particles and residues","2002","m3","1688550"
"Forestry Production and Trade","Africa","Production","Wood chips, particles and residues","2003","m3","4516480"
"Forestry Production and Trade","Africa","Production","Wood chips, particles and residues","2004","m3","4528295"
"Forestry Production and Trade","Africa","Production","Wood chips, particles and residues","2005","m3","7942650"
"Forestry Production and Trade","Africa","Production","Wood chips, particles and residues","2006","m3","13620950"
"Forestry Production and Trade","Africa","Production","Wood chips, particles and residues","2007","m3","13614050"
"Forestry Production and Trade","Africa","Production","Wood chips, particles and residues","2008","m3","13776894"
"Forestry Production and Trade","Africa","Production","Wood chips, particles and residues","2009","m3","5152423"
"Forestry Production and Trade","Africa","Production","Wood chips, particles and residues","2010","m3","4283568"
"Forestry Production and Trade","Africa","Production","Wood chips, particles and residues","2011","m3","2683985"
"Forestry Production and Trade","Africa","Production","Wood chips, particles and residues","2012","m3","3213702"
"Forestry Production and Trade","Africa","Production","Wood chips, particles and residues","2013","m3","3059680"
"Forestry Production and Trade","Africa","Production","Wood chips, particles and residues","2014","m3","3362844"
"Forestry Production and Trade","Africa","Production","Wood chips, particles and residues","2015","m3","3442442"
"Forestry Production and Trade","Africa","Production","Wood chips, particles and residues","2016","m3","3500129"
"Forestry Production and Trade","Africa","Production","Wood chips, particles and residues","2017","m3","3765701"
"Forestry Production and Trade","Africa","Production","Wood chips, particles and residues","2018","m3","3976701"
"Forestry Production and Trade","Africa","Production","Wood chips, particles and residues","2019","m3","3921993"
"Forestry Production and Trade","Africa","Production","Wood chips, particles and residues","2020","m3","4040637"
"Forestry Production and Trade","Africa","Production","Wood pellets and other agglomerates","2012","tonnes","100000"
"Forestry Production and Trade","Africa","Production","Wood pellets and other agglomerates","2013","tonnes","45000"
"Forestry Production and Trade","Africa","Production","Wood pellets and other agglomerates","2014","tonnes","46000"
"Forestry Production and Trade","Africa","Production","Wood pellets and other agglomerates","2015","tonnes","43000"
"Forestry Production and Trade","Africa","Production","Wood pellets and other agglomerates","2016","tonnes","51000"
"Forestry Production and Trade","Africa","Production","Wood pellets and other agglomerates","2017","tonnes","89000"
"Forestry Production and Trade","Africa","Production","Wood pellets and other agglomerates","2018","tonnes","100000"
"Forestry Production and Trade","Africa","Production","Wood pellets and other agglomerates","2019","tonnes","100000"
"Forestry Production and Trade","Africa","Production","Wood pellets and other agglomerates","2020","tonnes","100000"
"Forestry Production and Trade","Africa","Production","Sawnwood","1961","m3","2921600"
"Forestry Production and Trade","Africa","Production","Sawnwood","1962","m3","2697600"
"Forestry Production and Trade","Africa","Production","Sawnwood","1963","m3","2837800"
"Forestry Production and Trade","Africa","Production","Sawnwood","1964","m3","3048000"
"Forestry Production and Trade","Africa","Production","Sawnwood","1965","m3","3395700"
"Forestry Production and Trade","Africa","Production","Sawnwood","1966","m3","4454700"
"Forestry Production and Trade","Africa","Production","Sawnwood","1967","m3","4091800"
"Forestry Production and Trade","Africa","Production","Sawnwood","1968","m3","4467300"
"Forestry Production and Trade","Africa","Production","Sawnwood","1969","m3","4290200"
"Forestry Production and Trade","Africa","Production","Sawnwood","1970","m3","4579201"
"Forestry Production and Trade","Africa","Production","Sawnwood","1971","m3","4891700"
"Forestry Production and Trade","Africa","Production","Sawnwood","1972","m3","4772600"
"Forestry Production and Trade","Africa","Production","Sawnwood","1973","m3","5264201"
"Forestry Production and Trade","Africa","Production","Sawnwood","1974","m3","5651401"
"Forestry Production and Trade","Africa","Production","Sawnwood","1975","m3","5909900"
"Forestry Production and Trade","Africa","Production","Sawnwood","1976","m3","5809501"
"Forestry Production and Trade","Africa","Production","Sawnwood","1977","m3","6125401"
"Forestry Production and Trade","Africa","Production","Sawnwood","1978","m3","6854701"
"Forestry Production and Trade","Africa","Production","Sawnwood","1979","m3","6937101"
"Forestry Production and Trade","Africa","Production","Sawnwood","1980","m3","7538901"
"Forestry Production and Trade","Africa","Production","Sawnwood","1981","m3","7963300"
"Forestry Production and Trade","Africa","Production","Sawnwood","1982","m3","7539700"
"Forestry Production and Trade","Africa","Production","Sawnwood","1983","m3","7316500"
"Forestry Production and Trade","Africa","Production","Sawnwood","1984","m3","7355500"
"Forestry Production and Trade","Africa","Production","Sawnwood","1985","m3","8187950"
"Forestry Production and Trade","Africa","Production","Sawnwood","1986","m3","8002100"
"Forestry Production and Trade","Africa","Production","Sawnwood","1987","m3","8613450"
"Forestry Production and Trade","Africa","Production","Sawnwood","1988","m3","8678200"
"Forestry Production and Trade","Africa","Production","Sawnwood","1989","m3","8516050"
"Forestry Production and Trade","Africa","Production","Sawnwood","1990","m3","8259200"
"Forestry Production and Trade","Africa","Production","Sawnwood","1991","m3","7949430"
"Forestry Production and Trade","Africa","Production","Sawnwood","1992","m3","8101790"
"Forestry Production and Trade","Africa","Production","Sawnwood","1993","m3","7849630"
"Forestry Production and Trade","Africa","Production","Sawnwood","1994","m3","8489920"
"Forestry Production and Trade","Africa","Production","Sawnwood","1995","m3","8243100"
"Forestry Production and Trade","Africa","Production","Sawnwood","1996","m3","7867100"
"Forestry Production and Trade","Africa","Production","Sawnwood","1997","m3","7504600"
"Forestry Production and Trade","Africa","Production","Sawnwood","1998","m3","7422800"
"Forestry Production and Trade","Africa","Production","Sawnwood","1999","m3","7414800"
"Forestry Production and Trade","Africa","Production","Sawnwood","2000","m3","7886900"
"Forestry Production and Trade","Africa","Production","Sawnwood","2001","m3","7564400"
"Forestry Production and Trade","Africa","Production","Sawnwood","2002","m3","7438500"
"Forestry Production and Trade","Africa","Production","Sawnwood","2003","m3","8081650"
"Forestry Production and Trade","Africa","Production","Sawnwood","2004","m3","8152550"
"Forestry Production and Trade","Africa","Production","Sawnwood","2005","m3","7953068"
"Forestry Production and Trade","Africa","Production","Sawnwood","2006","m3","8037874"
"Forestry Production and Trade","Africa","Production","Sawnwood","2007","m3","8160375"
"Forestry Production and Trade","Africa","Production","Sawnwood","2008","m3","8521682"
"Forestry Production and Trade","Africa","Production","Sawnwood","2009","m3","8435363"
"Forestry Production and Trade","Africa","Production","Sawnwood","2010","m3","8681873"
"Forestry Production and Trade","Africa","Production","Sawnwood","2011","m3","9010448"
"Forestry Production and Trade","Africa","Production","Sawnwood","2012","m3","9018735"
"Forestry Production and Trade","Africa","Production","Sawnwood","2013","m3","9562155"
"Forestry Production and Trade","Africa","Production","Sawnwood","2014","m3","10282050"
"Forestry Production and Trade","Africa","Production","Sawnwood","2015","m3","10488026"
"Forestry Production and Trade","Africa","Production","Sawnwood","2016","m3","10655170"
"Forestry Production and Trade","Africa","Production","Sawnwood","2017","m3","11117345"
"Forestry Production and Trade","Africa","Production","Sawnwood","2018","m3","11552504"
"Forestry Production and Trade","Africa","Production","Sawnwood","2019","m3","12070682"
