Domain,Area,Element,Item,Year,Unit,Value
"Forestry Production and Trade","Africa","Production","Roundwood","1961","m3","277063385"
"Forestry Production and Trade","Africa","Production","Roundwood","1962","m3","281772967"
"Forestry Production and Trade","Africa","Production","Roundwood","1963","m3","292837272"
"Forestry Production and Trade","Africa","Production","Roundwood","1964","m3","294096171"
"Forestry Production and Trade","Africa","Production","Roundwood","1965","m3","301286184"
"Forestry Production and Trade","Africa","Production","Roundwood","1966","m3","314414329"
"Forestry Production and Trade","Africa","Production","Roundwood","1967","m3","320500466"
"Forestry Production and Trade","Africa","Production","Roundwood","1968","m3","326745206"
"Forestry Production and Trade","Africa","Production","Roundwood","1969","m3","335031212"
"Forestry Production and Trade","Africa","Production","Roundwood","1970","m3","340677176"
"Forestry Production and Trade","Africa","Production","Roundwood","1971","m3","345596968"
"Forestry Production and Trade","Africa","Production","Roundwood","1972","m3","348591552"
"Forestry Production and Trade","Africa","Production","Roundwood","1973","m3","354721152"
"Forestry Production and Trade","Africa","Production","Roundwood","1974","m3","356720304"
"Forestry Production and Trade","Africa","Production","Roundwood","1975","m3","364486951"
"Forestry Production and Trade","Africa","Production","Roundwood","1976","m3","370957103"
"Forestry Production and Trade","Africa","Production","Roundwood","1977","m3","377664140"
"Forestry Production and Trade","Africa","Production","Roundwood","1978","m3","388029614"
"Forestry Production and Trade","Africa","Production","Roundwood","1979","m3","395684495"
"Forestry Production and Trade","Africa","Production","Roundwood","1980","m3","406451748"
"Forestry Production and Trade","Africa","Production","Roundwood","1981","m3","416717058"
"Forestry Production and Trade","Africa","Production","Roundwood","1982","m3","424625070"
"Forestry Production and Trade","Africa","Production","Roundwood","1983","m3","435591258"
"Forestry Production and Trade","Africa","Production","Roundwood","1984","m3","445973861"
"Forestry Production and Trade","Africa","Production","Roundwood","1985","m3","457577388"
"Forestry Production and Trade","Africa","Production","Roundwood","1986","m3","465081700"
"Forestry Production and Trade","Africa","Production","Roundwood","1987","m3","475587104"
"Forestry Production and Trade","Africa","Production","Roundwood","1988","m3","485176355"
"Forestry Production and Trade","Africa","Production","Roundwood","1989","m3","496294313"
"Forestry Production and Trade","Africa","Production","Roundwood","1990","m3","506212881"
"Forestry Production and Trade","Africa","Production","Roundwood","1991","m3","515487496"
"Forestry Production and Trade","Africa","Production","Roundwood","1992","m3","529804474"
"Forestry Production and Trade","Africa","Production","Roundwood","1993","m3","545446174"
"Forestry Production and Trade","Africa","Production","Roundwood","1994","m3","565290318"
"Forestry Production and Trade","Africa","Production","Roundwood","1995","m3","580116736"
"Forestry Production and Trade","Africa","Production","Roundwood","1996","m3","589920958"
"Forestry Production and Trade","Africa","Production","Roundwood","1997","m3","597881649"
"Forestry Production and Trade","Africa","Production","Roundwood","1998","m3","601379111"
"Forestry Production and Trade","Africa","Production","Roundwood","1999","m3","605483491"
"Forestry Production and Trade","Africa","Production","Roundwood","2000","m3","622595544"
"Forestry Production and Trade","Africa","Production","Roundwood","2001","m3","631089103"
"Forestry Production and Trade","Africa","Production","Roundwood","2002","m3","637085752"
"Forestry Production and Trade","Africa","Production","Roundwood","2003","m3","648916835"
"Forestry Production and Trade","Africa","Production","Roundwood","2004","m3","658268100"
"Forestry Production and Trade","Africa","Production","Roundwood","2005","m3","674530387"
"Forestry Production and Trade","Africa","Production","Roundwood","2006","m3","687476749"
"Forestry Production and Trade","Africa","Production","Roundwood","2007","m3","693101800"
"Forestry Production and Trade","Africa","Production","Roundwood","2008","m3","702469662"
"Forestry Production and Trade","Africa","Production","Roundwood","2009","m3","707586578"
"Forestry Production and Trade","Africa","Production","Roundwood","2010","m3","715387955"
"Forestry Production and Trade","Africa","Production","Roundwood","2011","m3","722625655"
"Forestry Production and Trade","Africa","Production","Roundwood","2012","m3","729685024"
"Forestry Production and Trade","Africa","Production","Roundwood","2013","m3","735953683"
